date,year,month_number,month,year_month,date_number,Low-income all items,Low-income food and beverages,food_pressure_gap,food_pressure_gap_label,pressure_status,latest_available_date,latest_date_number
2012-05-01,2012,5,May,2012-05,20120501,104.9,107.1,2.1999999999999886,2.2 index points,Food and beverages above all items,April 2026,20260401
2012-06-01,2012,6,June,2012-06,20120601,105.1,107.8,2.700000000000003,2.7 index points,Food and beverages above all items,April 2026,20260401
2012-07-01,2012,7,July,2012-07,20120701,105.1,107.9,2.8000000000000114,2.8 index points,Food and beverages above all items,April 2026,20260401
2012-08-01,2012,8,August,2012-08,20120801,105.3,108.0,2.700000000000003,2.7 index points,Food and beverages above all items,April 2026,20260401
2012-09-01,2012,9,September,2012-09,20120901,105.4,108.0,2.5999999999999943,2.6 index points,Food and beverages above all items,April 2026,20260401
2012-10-01,2012,10,October,2012-10,20121001,105.6,108.5,2.9000000000000057,2.9 index points,Food and beverages above all items,April 2026,20260401
2012-11-01,2012,11,November,2012-11,20121101,105.7,108.4,2.700000000000003,2.7 index points,Food and beverages above all items,April 2026,20260401
2012-12-01,2012,12,December,2012-12,20121201,105.7,108.8,3.0999999999999943,3.1 index points,Food and beverages above all items,April 2026,20260401
2013-01-01,2013,1,January,2013-01,20130101,106.3,110.1,3.799999999999997,3.8 index points,Food and beverages above all items,April 2026,20260401
2013-02-01,2013,2,February,2013-02,20130201,106.5,110.4,3.9000000000000057,3.9 index points,Food and beverages above all items,April 2026,20260401
2013-03-01,2013,3,March,2013-03,20130301,106.6,110.3,3.700000000000003,3.7 index points,Food and beverages above all items,April 2026,20260401
2013-04-01,2013,4,April,2013-04,20130401,106.6,110.4,3.8000000000000114,3.8 index points,Food and beverages above all items,April 2026,20260401
2013-05-01,2013,5,May,2013-05,20130501,107.0,110.9,3.9000000000000057,3.9 index points,Food and beverages above all items,April 2026,20260401
2013-06-01,2013,6,June,2013-06,20130601,107.1,111.3,4.200000000000003,4.2 index points,Food and beverages above all items,April 2026,20260401
2013-07-01,2013,7,July,2013-07,20130701,107.4,112.2,4.799999999999997,4.8 index points,Food and beverages above all items,April 2026,20260401
2013-08-01,2013,8,August,2013-08,20130801,107.5,111.9,4.400000000000006,4.4 index points,Food and beverages above all items,April 2026,20260401
2013-09-01,2013,9,September,2013-09,20130901,108.4,112.3,3.8999999999999915,3.9 index points,Food and beverages above all items,April 2026,20260401
2013-10-01,2013,10,October,2013-10,20131001,108.8,112.4,3.6000000000000085,3.6 index points,Food and beverages above all items,April 2026,20260401
2013-11-01,2013,11,November,2013-11,20131101,109.1,112.7,3.6000000000000085,3.6 index points,Food and beverages above all items,April 2026,20260401
2013-12-01,2013,12,December,2013-12,20131201,109.5,113.8,4.299999999999997,4.3 index points,Food and beverages above all items,April 2026,20260401
2014-01-01,2014,1,January,2014-01,20140101,110.0,114.7,4.700000000000003,4.7 index points,Food and beverages above all items,April 2026,20260401
2014-02-01,2014,2,February,2014-02,20140201,110.4,114.6,4.199999999999989,4.2 index points,Food and beverages above all items,April 2026,20260401
2014-03-01,2014,3,March,2014-03,20140301,110.4,114.6,4.199999999999989,4.2 index points,Food and beverages above all items,April 2026,20260401
2014-04-01,2014,4,April,2014-04,20140401,110.4,114.4,4.0,4.0 index points,Food and beverages above all items,April 2026,20260401
2014-05-01,2014,5,May,2014-05,20140501,110.5,114.3,3.799999999999997,3.8 index points,Food and beverages above all items,April 2026,20260401
2014-06-01,2014,6,June,2014-06,20140601,110.7,115.0,4.299999999999997,4.3 index points,Food and beverages above all items,April 2026,20260401
2014-07-01,2014,7,July,2014-07,20140701,110.9,115.4,4.5,4.5 index points,Food and beverages above all items,April 2026,20260401
2014-08-01,2014,8,August,2014-08,20140801,111.1,115.4,4.300000000000011,4.3 index points,Food and beverages above all items,April 2026,20260401
2014-09-01,2014,9,September,2014-09,20140901,111.3,115.7,4.400000000000006,4.4 index points,Food and beverages above all items,April 2026,20260401
2014-10-01,2014,10,October,2014-10,20141001,111.8,115.4,3.6000000000000085,3.6 index points,Food and beverages above all items,April 2026,20260401
2014-11-01,2014,11,November,2014-11,20141101,112.4,115.7,3.299999999999997,3.3 index points,Food and beverages above all items,April 2026,20260401
2014-12-01,2014,12,December,2014-12,20141201,112.4,116.2,3.799999999999997,3.8 index points,Food and beverages above all items,April 2026,20260401
2015-01-01,2015,1,January,2015-01,20150101,111.5,117.7,6.200000000000003,6.2 index points,Food and beverages above all items,April 2026,20260401
2015-02-01,2015,2,February,2015-02,20150201,110.8,117.4,6.6000000000000085,6.6 index points,Food and beverages above all items,April 2026,20260401
2015-03-01,2015,3,March,2015-03,20150301,111.6,116.9,5.300000000000011,5.3 index points,Food and beverages above all items,April 2026,20260401
2015-04-01,2015,4,April,2015-04,20150401,112.7,117.7,5.0,5.0 index points,Food and beverages above all items,April 2026,20260401
2015-05-01,2015,5,May,2015-05,20150501,113.1,118.2,5.1000000000000085,5.1 index points,Food and beverages above all items,April 2026,20260401
2015-06-01,2015,6,June,2015-06,20150601,113.7,118.7,5.0,5.0 index points,Food and beverages above all items,April 2026,20260401
2015-07-01,2015,7,July,2015-07,20150701,114.6,119.7,5.1000000000000085,5.1 index points,Food and beverages above all items,April 2026,20260401
2015-08-01,2015,8,August,2015-08,20150801,114.7,120.3,5.599999999999994,5.6 index points,Food and beverages above all items,April 2026,20260401
2015-09-01,2015,9,September,2015-09,20150901,114.4,120.6,6.199999999999989,6.2 index points,Food and beverages above all items,April 2026,20260401
2015-10-01,2015,10,October,2015-10,20151001,114.9,120.7,5.799999999999997,5.8 index points,Food and beverages above all items,April 2026,20260401
2015-11-01,2015,11,November,2015-11,20151101,115.6,120.3,4.700000000000003,4.7 index points,Food and beverages above all items,April 2026,20260401
2015-12-01,2015,12,December,2015-12,20151201,115.7,121.4,5.700000000000003,5.7 index points,Food and beverages above all items,April 2026,20260401
2016-01-01,2016,1,January,2016-01,20160101,115.5,122.0,6.5,6.5 index points,Food and beverages above all items,April 2026,20260401
2016-02-01,2016,2,February,2016-02,20160201,115.6,122.9,7.300000000000011,7.3 index points,Food and beverages above all items,April 2026,20260401
2016-03-01,2016,3,March,2016-03,20160301,115.0,122.6,7.599999999999994,7.6 index points,Food and beverages above all items,April 2026,20260401
2016-04-01,2016,4,April,2016-04,20160401,115.4,122.6,7.199999999999989,7.2 index points,Food and beverages above all items,April 2026,20260401
2016-05-01,2016,5,May,2016-05,20160501,115.7,123.0,7.299999999999997,7.3 index points,Food and beverages above all items,April 2026,20260401
2016-06-01,2016,6,June,2016-06,20160601,115.9,123.6,7.699999999999989,7.7 index points,Food and beverages above all items,April 2026,20260401
2016-07-01,2016,7,July,2016-07,20160701,116.3,124.0,7.700000000000003,7.7 index points,Food and beverages above all items,April 2026,20260401
2016-08-01,2016,8,August,2016-08,20160801,116.6,124.3,7.700000000000003,7.7 index points,Food and beverages above all items,April 2026,20260401
2016-09-01,2016,9,September,2016-09,20160901,116.4,123.9,7.5,7.5 index points,Food and beverages above all items,April 2026,20260401
2016-10-01,2016,10,October,2016-10,20161001,116.5,123.3,6.799999999999997,6.8 index points,Food and beverages above all items,April 2026,20260401
2016-11-01,2016,11,November,2016-11,20161101,117.6,124.4,6.800000000000011,6.8 index points,Food and beverages above all items,April 2026,20260401
2016-12-01,2016,12,December,2016-12,20161201,117.8,125.4,7.6000000000000085,7.6 index points,Food and beverages above all items,April 2026,20260401
2017-01-01,2017,1,January,2017-01,20170101,119.0,126.6,7.599999999999994,7.6 index points,Food and beverages above all items,April 2026,20260401
2017-02-01,2017,2,February,2017-02,20170201,120.4,127.9,7.5,7.5 index points,Food and beverages above all items,April 2026,20260401
2017-03-01,2017,3,March,2017-03,20170301,120.1,127.2,7.1000000000000085,7.1 index points,Food and beverages above all items,April 2026,20260401
2017-04-01,2017,4,April,2017-04,20170401,119.9,127.1,7.199999999999989,7.2 index points,Food and beverages above all items,April 2026,20260401
2017-05-01,2017,5,May,2017-05,20170501,119.8,127.9,8.100000000000009,8.1 index points,Food and beverages above all items,April 2026,20260401
2017-06-01,2017,6,June,2017-06,20170601,119.7,128.4,8.700000000000003,8.7 index points,Food and beverages above all items,April 2026,20260401
2017-07-01,2017,7,July,2017-07,20170701,119.7,128.8,9.100000000000009,9.1 index points,Food and beverages above all items,April 2026,20260401
2017-08-01,2017,8,August,2017-08,20170801,120.7,129.4,8.700000000000003,8.7 index points,Food and beverages above all items,April 2026,20260401
2017-09-01,2017,9,September,2017-09,20170901,120.9,129.2,8.299999999999983,8.3 index points,Food and beverages above all items,April 2026,20260401
2017-10-01,2017,10,October,2017-10,20171001,120.7,128.7,7.999999999999986,8.0 index points,Food and beverages above all items,April 2026,20260401
2017-11-01,2017,11,November,2017-11,20171101,121.4,129.3,7.900000000000006,7.9 index points,Food and beverages above all items,April 2026,20260401
2017-12-01,2017,12,December,2017-12,20171201,121.7,130.3,8.600000000000009,8.6 index points,Food and beverages above all items,April 2026,20260401
2018-01-01,2018,1,January,2018-01,20180101,122.2,131.3,9.100000000000009,9.1 index points,Food and beverages above all items,April 2026,20260401
2018-02-01,2018,2,February,2018-02,20180201,122.2,131.3,9.100000000000009,9.1 index points,Food and beverages above all items,April 2026,20260401
2018-03-01,2018,3,March,2018-03,20180301,121.8,130.5,8.700000000000003,8.7 index points,Food and beverages above all items,April 2026,20260401
2018-04-01,2018,4,April,2018-04,20180401,121.6,130.0,8.400000000000006,8.4 index points,Food and beverages above all items,April 2026,20260401
2018-05-01,2018,5,May,2018-05,20180501,121.8,130.0,8.200000000000003,8.2 index points,Food and beverages above all items,April 2026,20260401
2018-06-01,2018,6,June,2018-06,20180601,120.7,129.2,8.499999999999986,8.5 index points,Food and beverages above all items,April 2026,20260401
2018-07-01,2018,7,July,2018-07,20180701,120.9,129.5,8.599999999999994,8.6 index points,Food and beverages above all items,April 2026,20260401
2018-08-01,2018,8,August,2018-08,20180801,121.1,129.6,8.5,8.5 index points,Food and beverages above all items,April 2026,20260401
2018-09-01,2018,9,September,2018-09,20180901,121.2,129.2,7.999999999999986,8.0 index points,Food and beverages above all items,April 2026,20260401
2018-10-01,2018,10,October,2018-10,20181001,121.5,129.9,8.400000000000006,8.4 index points,Food and beverages above all items,April 2026,20260401
2018-11-01,2018,11,November,2018-11,20181101,121.7,129.9,8.200000000000003,8.2 index points,Food and beverages above all items,April 2026,20260401
2018-12-01,2018,12,December,2018-12,20181201,121.9,130.5,8.599999999999994,8.6 index points,Food and beverages above all items,April 2026,20260401
2019-01-01,2019,1,January,2019-01,20190101,121.6,131.6,10.0,10.0 index points,Food and beverages above all items,April 2026,20260401
2019-02-01,2019,2,February,2019-02,20190201,121.8,131.7,9.899999999999991,9.9 index points,Food and beverages above all items,April 2026,20260401
2019-03-01,2019,3,March,2019-03,20190301,121.9,130.9,9.0,9.0 index points,Food and beverages above all items,April 2026,20260401
2019-04-01,2019,4,April,2019-04,20190401,121.8,130.5,8.700000000000003,8.7 index points,Food and beverages above all items,April 2026,20260401
2019-05-01,2019,5,May,2019-05,20190501,122.0,130.9,8.900000000000006,8.9 index points,Food and beverages above all items,April 2026,20260401
2019-06-01,2019,6,June,2019-06,20190601,122.1,131.1,9.0,9.0 index points,Food and beverages above all items,April 2026,20260401
2019-07-01,2019,7,July,2019-07,20190701,122.2,131.5,9.299999999999997,9.3 index points,Food and beverages above all items,April 2026,20260401
2019-08-01,2019,8,August,2019-08,20190801,122.5,131.8,9.300000000000011,9.3 index points,Food and beverages above all items,April 2026,20260401
2019-09-01,2019,9,September,2019-09,20190901,122.5,131.5,9.0,9.0 index points,Food and beverages above all items,April 2026,20260401
2019-10-01,2019,10,October,2019-10,20191001,122.5,131.5,9.0,9.0 index points,Food and beverages above all items,April 2026,20260401
2019-11-01,2019,11,November,2019-11,20191101,122.7,131.6,8.899999999999991,8.9 index points,Food and beverages above all items,April 2026,20260401
2019-12-01,2019,12,December,2019-12,20191201,122.9,132.2,9.299999999999983,9.3 index points,Food and beverages above all items,April 2026,20260401
2020-01-01,2020,1,January,2020-01,20200101,123.1,132.5,9.400000000000006,9.4 index points,Food and beverages above all items,April 2026,20260401
2020-02-01,2020,2,February,2020-02,20200201,123.1,132.6,9.5,9.5 index points,Food and beverages above all items,April 2026,20260401
2020-03-01,2020,3,March,2020-03,20200301,121.9,132.3,10.400000000000006,10.4 index points,Food and beverages above all items,April 2026,20260401
2020-04-01,2020,4,April,2020-04,20200401,118.8,132.0,13.200000000000003,13.2 index points,Food and beverages above all items,April 2026,20260401
2020-05-01,2020,5,May,2020-05,20200501,119.1,132.4,13.300000000000011,13.3 index points,Food and beverages above all items,April 2026,20260401
2020-06-01,2020,6,June,2020-06,20200601,120.2,133.1,12.899999999999991,12.9 index points,Food and beverages above all items,April 2026,20260401
2020-07-01,2020,7,July,2020-07,20200701,120.8,133.0,12.200000000000003,12.2 index points,Food and beverages above all items,April 2026,20260401
2020-08-01,2020,8,August,2020-08,20200801,120.9,133.2,12.299999999999983,12.3 index points,Food and beverages above all items,April 2026,20260401
2020-09-01,2020,9,September,2020-09,20200901,120.8,133.0,12.200000000000003,12.2 index points,Food and beverages above all items,April 2026,20260401
2020-10-01,2020,10,October,2020-10,20201001,120.9,133.2,12.299999999999983,12.3 index points,Food and beverages above all items,April 2026,20260401
2020-11-01,2020,11,November,2020-11,20201101,120.7,133.0,12.299999999999997,12.3 index points,Food and beverages above all items,April 2026,20260401
2020-12-01,2020,12,December,2020-12,20201201,121.4,133.8,12.400000000000006,12.4 index points,Food and beverages above all items,April 2026,20260401
2021-01-01,2021,1,January,2021-01,20210101,122.7,134.2,11.499999999999986,11.5 index points,Food and beverages above all items,April 2026,20260401
2021-02-01,2021,2,February,2021-02,20210201,123.1,134.2,11.099999999999994,11.1 index points,Food and beverages above all items,April 2026,20260401
2021-03-01,2021,3,March,2021-03,20210301,123.5,134.2,10.699999999999989,10.7 index points,Food and beverages above all items,April 2026,20260401
2021-04-01,2021,4,April,2021-04,20210401,123.6,134.7,11.099999999999994,11.1 index points,Food and beverages above all items,April 2026,20260401
2021-05-01,2021,5,May,2021-05,20210501,123.6,134.3,10.700000000000017,10.7 index points,Food and beverages above all items,April 2026,20260401
2021-06-01,2021,6,June,2021-06,20210601,123.7,134.8,11.100000000000009,11.1 index points,Food and beverages above all items,April 2026,20260401
2021-07-01,2021,7,July,2021-07,20210701,123.0,134.8,11.800000000000011,11.8 index points,Food and beverages above all items,April 2026,20260401
2021-08-01,2021,8,August,2021-08,20210801,123.1,134.9,11.800000000000011,11.8 index points,Food and beverages above all items,April 2026,20260401
2021-09-01,2021,9,September,2021-09,20210901,123.4,135.9,12.5,12.5 index points,Food and beverages above all items,April 2026,20260401
2021-10-01,2021,10,October,2021-10,20211001,124.3,136.2,11.899999999999991,11.9 index points,Food and beverages above all items,April 2026,20260401
2021-11-01,2021,11,November,2021-11,20211101,124.7,136.9,12.200000000000003,12.2 index points,Food and beverages above all items,April 2026,20260401
2021-12-01,2021,12,December,2021-12,20211201,125.3,138.5,13.200000000000003,13.2 index points,Food and beverages above all items,April 2026,20260401
2022-01-01,2022,1,January,2022-01,20220101,125.8,139.3,13.500000000000014,13.5 index points,Food and beverages above all items,April 2026,20260401
2022-02-01,2022,2,February,2022-02,20220201,126.0,139.5,13.5,13.5 index points,Food and beverages above all items,April 2026,20260401
2022-03-01,2022,3,March,2022-03,20220301,126.2,139.8,13.600000000000009,13.6 index points,Food and beverages above all items,April 2026,20260401
2022-04-01,2022,4,April,2022-04,20220401,126.4,140.2,13.799999999999983,13.8 index points,Food and beverages above all items,April 2026,20260401
2022-05-01,2022,5,May,2022-05,20220501,127.2,141.6,14.399999999999991,14.4 index points,Food and beverages above all items,April 2026,20260401
2022-06-01,2022,6,June,2022-06,20220601,127.9,143.1,15.199999999999989,15.2 index points,Food and beverages above all items,April 2026,20260401
2022-07-01,2022,7,July,2022-07,20220701,128.3,144.1,15.799999999999983,15.8 index points,Food and beverages above all items,April 2026,20260401
2022-08-01,2022,8,August,2022-08,20220801,128.6,144.4,15.800000000000011,15.8 index points,Food and beverages above all items,April 2026,20260401
2022-09-01,2022,9,September,2022-09,20220901,128.8,144.8,16.0,16.0 index points,Food and beverages above all items,April 2026,20260401
2022-10-01,2022,10,October,2022-10,20221001,129.1,145.4,16.30000000000001,16.3 index points,Food and beverages above all items,April 2026,20260401
2022-11-01,2022,11,November,2022-11,20221101,129.6,146.3,16.700000000000017,16.7 index points,Food and beverages above all items,April 2026,20260401
2022-12-01,2022,12,December,2022-12,20221201,129.8,147.0,17.19999999999999,17.2 index points,Food and beverages above all items,April 2026,20260401
2023-01-01,2023,1,January,2023-01,20230101,130.2,147.7,17.5,17.5 index points,Food and beverages above all items,April 2026,20260401
2023-02-01,2023,2,February,2023-02,20230201,130.7,148.5,17.80000000000001,17.8 index points,Food and beverages above all items,April 2026,20260401
2023-03-01,2023,3,March,2023-03,20230301,130.8,148.7,17.899999999999977,17.9 index points,Food and beverages above all items,April 2026,20260401
2023-04-01,2023,4,April,2023-04,20230401,130.7,148.3,17.600000000000023,17.6 index points,Food and beverages above all items,April 2026,20260401
2023-05-01,2023,5,May,2023-05,20230501,131.2,148.8,17.600000000000023,17.6 index points,Food and beverages above all items,April 2026,20260401
2023-06-01,2023,6,June,2023-06,20230601,131.3,148.9,17.599999999999994,17.6 index points,Food and beverages above all items,April 2026,20260401
2023-07-01,2023,7,July,2023-07,20230701,131.4,149.2,17.799999999999983,17.8 index points,Food and beverages above all items,April 2026,20260401
2023-08-01,2023,8,August,2023-08,20230801,131.6,149.3,17.700000000000017,17.7 index points,Food and beverages above all items,April 2026,20260401
2023-09-01,2023,9,September,2023-09,20230901,131.7,149.4,17.700000000000017,17.7 index points,Food and beverages above all items,April 2026,20260401
2023-10-01,2023,10,October,2023-10,20231001,131.7,149.5,17.80000000000001,17.8 index points,Food and beverages above all items,April 2026,20260401
2023-11-01,2023,11,November,2023-11,20231101,131.8,149.2,17.399999999999977,17.4 index points,Food and beverages above all items,April 2026,20260401
2023-12-01,2023,12,December,2023-12,20231201,132.0,149.8,17.80000000000001,17.8 index points,Food and beverages above all items,April 2026,20260401
2024-01-01,2024,1,January,2024-01,20240101,132.3,150.4,18.099999999999994,18.1 index points,Food and beverages above all items,April 2026,20260401
2024-02-01,2024,2,February,2024-02,20240201,132.9,150.5,17.599999999999994,17.6 index points,Food and beverages above all items,April 2026,20260401
2024-03-01,2024,3,March,2024-03,20240301,133.0,150.4,17.400000000000006,17.4 index points,Food and beverages above all items,April 2026,20260401
2024-04-01,2024,4,April,2024-04,20240401,133.1,150.4,17.30000000000001,17.3 index points,Food and beverages above all items,April 2026,20260401
2024-05-01,2024,5,May,2024-05,20240501,133.5,150.7,17.19999999999999,17.2 index points,Food and beverages above all items,April 2026,20260401
2024-06-01,2024,6,June,2024-06,20240601,133.7,151.3,17.600000000000023,17.6 index points,Food and beverages above all items,April 2026,20260401
2024-07-01,2024,7,July,2024-07,20240701,133.7,151.1,17.400000000000006,17.4 index points,Food and beverages above all items,April 2026,20260401
2024-08-01,2024,8,August,2024-08,20240801,133.8,151.0,17.19999999999999,17.2 index points,Food and beverages above all items,April 2026,20260401
2024-09-01,2024,9,September,2024-09,20240901,133.8,151.2,17.399999999999977,17.4 index points,Food and beverages above all items,April 2026,20260401
2024-10-01,2024,10,October,2024-10,20241001,133.9,151.7,17.799999999999983,17.8 index points,Food and beverages above all items,April 2026,20260401
2024-11-01,2024,11,November,2024-11,20241101,133.9,151.7,17.799999999999983,17.8 index points,Food and beverages above all items,April 2026,20260401
2024-12-01,2024,12,December,2024-12,20241201,134.1,152.6,18.5,18.5 index points,Food and beverages above all items,April 2026,20260401
2025-01-01,2025,1,January,2025-01,20250101,134.2,152.7,18.5,18.5 index points,Food and beverages above all items,April 2026,20260401
2025-02-01,2025,2,February,2025-02,20250201,134.7,153.0,18.30000000000001,18.3 index points,Food and beverages above all items,April 2026,20260401
2025-03-01,2025,3,March,2025-03,20250301,134.7,153.1,18.400000000000006,18.4 index points,Food and beverages above all items,April 2026,20260401
2025-04-01,2025,4,April,2025-04,20250401,134.7,152.9,18.200000000000017,18.2 index points,Food and beverages above all items,April 2026,20260401
2025-05-01,2025,5,May,2025-05,20250501,134.9,152.7,17.799999999999983,17.8 index points,Food and beverages above all items,April 2026,20260401
2025-06-01,2025,6,June,2025-06,20250601,135.0,152.9,17.900000000000006,17.9 index points,Food and beverages above all items,April 2026,20260401
2025-07-01,2025,7,July,2025-07,20250701,134.8,152.7,17.899999999999977,17.9 index points,Food and beverages above all items,April 2026,20260401
2025-08-01,2025,8,August,2025-08,20250801,135.0,152.7,17.69999999999999,17.7 index points,Food and beverages above all items,April 2026,20260401
2025-09-01,2025,9,September,2025-09,20250901,135.3,153.1,17.799999999999983,17.8 index points,Food and beverages above all items,April 2026,20260401
2025-10-01,2025,10,October,2025-10,20251001,135.2,153.3,18.100000000000023,18.1 index points,Food and beverages above all items,April 2026,20260401
2025-11-01,2025,11,November,2025-11,20251101,135.2,153.3,18.100000000000023,18.1 index points,Food and beverages above all items,April 2026,20260401
2025-12-01,2025,12,December,2025-12,20251201,135.6,154.3,18.700000000000017,18.7 index points,Food and beverages above all items,April 2026,20260401
2026-01-01,2026,1,January,2026-01,20260101,135.8,154.5,18.69999999999999,18.7 index points,Food and beverages above all items,April 2026,20260401
2026-02-01,2026,2,February,2026-02,20260201,136.2,154.4,18.200000000000017,18.2 index points,Food and beverages above all items,April 2026,20260401
2026-03-01,2026,3,March,2026-03,20260301,136.3,154.1,17.799999999999983,17.8 index points,Food and beverages above all items,April 2026,20260401
2026-04-01,2026,4,April,2026-04,20260401,136.4,153.8,17.400000000000006,17.4 index points,Food and beverages above all items,April 2026,20260401
